year,ebike_sales,co2_per_cpt,ev_sales,pop,gas_price,env_perc,disp_inc,death_rate
2006,98,9.339,0,60846820,95.18,3,26088,395
2007,173,9.134,2,61322463,97.11,3,26167,381
2008,279,8.826,34,61806995,117.56,4,25460,372
2009,422,7.938,100,62276270,104.15,5,24180,346
2010,588,8.157,281,62766365,119.23,6,24758,336
2011,716,7.422,1207,63258810,138.81,7,24856,309
2012,854,7.640,2690,63700215,142.16,7,24711,305
2013,907,7.428,3800,64128273,140.59,7,24863,298
2014,1139,6.774,14700,64602298,133.47,10,25591,284
2015,1364,6.477,29000,65116219,115.00,9,26098,290
2016,1637,6.084,38000,65611593,110.42,9,26392,276
2017,2074,5.863,48000,66058859,120.21,9,27192,272
2018,2767,5.716,51000,66460344,130.04,13,27334,266
2019,3397,5.462,75000,66836327,131.71,25,28118,254
2020,4184,4.865,177000,67081000,119.46,25,23750,259
2021,4849,5.154,310000,67326569,135.04,30,26589,260
